Category,ViewPath,Substitutions,en-US*,en-US,"ref=""0""","ref=""1""","ref=""2""","ref=""3""","ref=""4""","ref=""5""","ref=""6""","ref=""7""","ref=""8""","ref=""9""","ref=""10""","ref=""11""","ref=""12""","ref=""13""","ref=""14""","ref=""15"""
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\XA CL2\Comment,,Băng tải xả cốt liệu 2,Băng tải xả cốt liệu 2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\XA CL2,,Băng tải xả cốt liệu 2,Băng tải xả cốt liệu 2,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\XA CL3\Comment,,Băng tải xả cốt liệu 3,Băng tải xả cốt liệu 3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\XA CL3,,Băng tải xả cốt liệu 3,Băng tải xả cốt liệu 3,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\XA CL4\Comment,,Băng tải xả cốt liệu 4,Băng tải xả cốt liệu 4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\XA CL4,,Băng tải xả cốt liệu 4,Băng tải xả cốt liệu 4,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\XA CL5\Comment,,Băng tải xả cốt liệu 5,Băng tải xả cốt liệu 5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\XA CL5,,Băng tải xả cốt liệu 5,Băng tải xả cốt liệu 5,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\BTX\Comment,,Băng tải xiên,Băng tải xiên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\BTX,,Băng tải xiên,Băng tải xiên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\FU_OUT,,Báo cân đầy,Báo cân đầy,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\RUN_T/T,,Bật chạy thô tinh sau khi hết thời gian đợi rơi thêm,Bật chạy thô tinh sau khi hết thời gian đợi rơi thêm,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\FU,,Bít nhớ báo cân đầy,Bít nhớ báo cân đầy,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\BOM TUOI NHUA\Comment,,Bổ ssung 1,Bổ ssung 1,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\DAU DOT\Comment,,Bổ ssung 2,Bổ ssung 2,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\VAN XA SBS\Comment,,Bổ ssung 3,Bổ ssung 3,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\RUNG CL1\Comment,,Bổ ssung 4,Bổ ssung 4,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\RUNG CL2\Comment,,Bổ ssung 5,Bổ ssung 5,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\RUNG CL3\Comment,,Bổ ssung 6,Bổ ssung 6,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\NOTE 7\Comment,,Bổ ssung 7,Bổ ssung 7,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\BOM_TUOI_NHUA,,Bổ sung 1,Bổ sung 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\DAU_DOT,,Bổ sung 2,Bổ sung 2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\VAN_PNSBS,,Bổ sung 3,Bổ sung 3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\RUNG CL1,,Bổ sung 4,Bổ sung 4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\RUNG CL2,,Bổ sung 5,Bổ sung 5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\RUNG CL3,,Bổ sung 6,Bổ sung 6,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\NOTE 7,,Bổ sung 7,Bổ sung 7,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\BOM DAU\Comment,,Bơm dầu DO,Bơm dầu DO,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\BOM DAU,,Bơm dầu DO,Bơm dầu DO,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\BOM SBS\Comment,,Bơm nạp hạt nhựa SBS,Bơm nạp hạt nhựa SBS,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\BOM SBS,,Bơm nạp hạt nhựa SBS,Bơm nạp hạt nhựa SBS,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\CAN AP1\Comment,,Bơm nhựa,Bơm nhựa,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\CAN AP1,,Bơm nhựa,Bơm nhựa,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\BOM NUOC\Comment,,Bơm nước lọc bụi,Bơm nước lọc bụi,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\BOM NUOC,,Bơm nước lọc bụi,Bơm nước lọc bụi,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_AGG1,,Bù trừ khối lượng Agg1,Bù trừ khối lượng Agg1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_AGG2,,Bù trừ khối lượng Agg2,Bù trừ khối lượng Agg2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_AGG3,,Bù trừ khối lượng Agg3,Bù trừ khối lượng Agg3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_AGG4,,Bù trừ khối lượng Agg4,Bù trừ khối lượng Agg4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_AGG5,,Bù trừ khối lượng Agg5,Bù trừ khối lượng Agg5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_AP1,,Bù trừ khối lượng AP1,Bù trừ khối lượng AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_FD1,,Bù trừ khối lượng FD1,Bù trừ khối lượng FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\BUTRU_SB1,,Bù trừ khối lượng SBS1,Bù trừ khối lượng SBS1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCXL_CCD_AGG12345 [FC9]\Network 1\Network comment,,"Các chân PV_IN và chân WR_IN không có tác dụng cho FB6
Mục đích của FB6 là xử lý giá trị cân WE_AG1 để biến nó thành cân có thể cân nhiều thành phần,bằng cách trừ bì thành phần đã cân trước đó
Chú ý tránh nhầm lẫn:
WE_AG1 hay những biến có chữ AG1 chưa chắc là dành cho cân thành phần AGG1 nhé, có thể nó là đang nói đến cái cân (thường có chữ W ở trước, ví dụ WE_AG1 là cái cân AGG nhé)","Các chân PV_IN và chân WR_IN không có tác dụng cho FB6
Mục đích của FB6 là xử lý giá trị cân WE_AG1 để biến nó thành cân có thể cân nhiều thành phần,bằng cách trừ bì thành phần đã cân trước đó
Chú ý tránh nhầm lẫn:
WE_AG1 hay những biến có chữ AG1 chưa chắc là dành cho cân thành phần AGG1 nhé, có thể nó là đang nói đến cái cân (thường có chữ W ở trước, ví dụ WE_AG1 là cái cân AGG nhé)",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 5\Network comment,,"Các điều kiện AUT, MAN1, MAN2 sẽ được ánh xạ trực tiếp qua đầu ra #STA_RUN, nếu một trong các đầu vào này OFF thì đầu ra sẽ:
>> nếu như cân tràn OVER hoặc hết thời gian cân Thô tinh (cân kiểu nhấp nhả) thì đầu ra cũng sẽ OFF
>> vấn giữ đầu ra ON cho đến khi hết thời gian cân Thô Tinh hoặc cân OVER","Các điều kiện AUT, MAN1, MAN2 sẽ được ánh xạ trực tiếp qua đầu ra #STA_RUN, nếu một trong các đầu vào này OFF thì đầu ra sẽ:
>> nếu như cân tràn OVER hoặc hết thời gian cân Thô tinh (cân kiểu nhấp nhả) thì đầu ra cũng sẽ OFF
>> vấn giữ đầu ra ON cho đến khi hết thời gian cân Thô Tinh hoặc cân OVER",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\1.ANALOG_INPUT [FB1]\Network 3\Network title,,CALIB ZERO,CALIB ZERO,,,,,,,,,,,,,,,,
